question,answer,explanation
"Which Windows networking mode in Kubernetes uses VXLAN encapsulation and allows IP address reuse across different overlay networks?

A) L2bridge
B) Overlay
C) Transparent
D) NAT",B) Overlay,The correct answer is B) Overlay. The Overlay network mode uses VXLAN encapsulation to create isolated virtual container networks and allows IP addresses to be reused across different overlay networks by using VNID tags. Option A) L2bridge attaches containers directly to an external vSwitch but rewrites MAC addresses and does not use VXLAN. Option C) Transparent mode is used with ovn-kubernetes and uses GENEVE or STT tunneling instead of VXLAN. Option D) NAT mode connects containers to an internal vSwitch and rewrites MAC and IP addresses but does not use encapsulation or support overlay networks.
"Which Kubernetes Service type is supported on Windows nodes and allows external access via a static port on each node?

A) ExternalName
B) ClusterIP
C) NodePort
D) Headless Service",C) NodePort,"The correct answer is C) NodePort. NodePort exposes the Service on a static port on each node, including Windows nodes, allowing external access to pods. Option A) ExternalName maps a service to an external DNS name but does not expose ports on nodes. Option B) ClusterIP is internal-only and does not expose ports externally. Option D) Headless Service (a ClusterIP service with no cluster IP) is for direct pod access and is not a Service type supported directly on Windows for external access."
"What component on Windows manages virtual networks, vNICs, namespaces, and policies such as NAT and load balancing for containers?

A) Hyper-V Manager
B) Host Compute Service (HCS)
C) Host Networking Service (HNS)
D) Windows Firewall",C) Host Networking Service (HNS),"The correct answer is C) Host Networking Service (HNS). HNS is responsible for managing networking resources like virtual networks, vNICs, namespaces, NAT rules, and load balancing for Windows containers. Option A) Hyper-V Manager manages virtual machines but not container networking directly. Option B) Host Compute Service (HCS) manages container lifecycle and compute but not networking. Option D) Windows Firewall manages network security but not container networking resources."
Create a Kubernetes Service of type LoadBalancer named 'win-lb' in the namespace 'test' that targets pods with the label 'app=web' on port 80.,kubectl create service loadbalancer win-lb --tcp=80:80 -n test --selector=app=web,This command creates a LoadBalancer Service named 'win-lb' in the 'test' namespace. The '--tcp=80:80' flag maps port 80 of the Service to port 80 on the pods. The '--selector=app=web' flag selects pods with the label 'app=web' as the backend endpoints. Using 'kubectl create service loadbalancer' is the simplest way to create a Service of type LoadBalancer with the specified parameters.
"Which IP Address Management (IPAM) plugin is specific to Azure CNI on Windows nodes?

A) host-local
B) azure-vnet-ipam
C) Windows Server IPAM
D) none",B) azure-vnet-ipam,The correct answer is B) azure-vnet-ipam. This IPAM plugin is specific to the Azure CNI plugin on Windows and integrates with Azure Virtual Network IP address management. Option A) host-local is a generic IPAM plugin used on Windows and Linux but not specific to Azure. Option C) Windows Server IPAM is a fallback IPAM option on Windows if no other IPAM is set. Option D) none is incorrect as there are IPAM plugins supported.
Enable Direct Server Return (DSR) feature in kube-proxy on Windows Server 2019 with Kubernetes v1.33.,kube-proxy --enable-dsr=true,This command runs kube-proxy with the flag '--enable-dsr=true' to enable the Direct Server Return (DSR) feature on Windows Server 2019 with Kubernetes v1.33. DSR allows service traffic source IP preservation and improves performance by letting return traffic bypass the load balancer. It's a beta feature that requires explicit enablement via this flag. Note that kube-proxy must be running with this configuration on Windows nodes to use DSR.
"Which of the following is true about the allocation of Service ClusterIP addresses in Kubernetes?

A) ClusterIP addresses are always statically assigned by the user.
B) The control plane dynamically assigns ClusterIP addresses from the configured range unless a static IP is specified.
C) ClusterIP addresses can be duplicated across different Services in the cluster.
D) Services of type ClusterIP do not require a virtual IP address.",B) The control plane dynamically assigns ClusterIP addresses from the configured range unless a static IP is specified.,"Option B is correct because Kubernetes assigns ClusterIP addresses dynamically from the configured service IP range unless a user explicitly specifies a static IP within that range. Option A is incorrect as static assignment is optional, not mandatory. Option C is incorrect since every ClusterIP must be unique cluster-wide, and duplication causes errors. Option D is incorrect because ClusterIP Services specifically provide a cluster-scoped virtual IP to expose applications."
"Why might you want to statically assign a ClusterIP to a Service in Kubernetes?

A) To enable the Service to handle external traffic.
B) To ensure a Service has a well-known, reserved IP address within the cluster.
C) To prevent the Service from being load balanced.
D) To allow the Service to automatically scale with IP allocation.","B) To ensure a Service has a well-known, reserved IP address within the cluster.","Option B is correct because static ClusterIP assignment is used to reserve IP addresses for Services that need to be reliably addressed, such as the cluster DNS Service. Option A is incorrect as external traffic handling is related to Service type LoadBalancer or NodePort, not static IP assignment. Option C is incorrect since load balancing behavior is independent of static IP assignment. Option D is incorrect because scaling does not affect or require static IP allocation."
"How does Kubernetes reduce the risk of ClusterIP address conflicts when using static IP assignments?

A) By disabling dynamic allocation when static IPs are used.
B) By dividing the ClusterIP range into two bands and using the upper band for dynamic allocation.
C) By allowing IP address reuse after 24 hours.
D) By reserving the entire IP range exclusively for static IPs.",B) By dividing the ClusterIP range into two bands and using the upper band for dynamic allocation.,"Option B is correct because Kubernetes splits the ClusterIP range into a static band (lower range) and a dynamic band (upper range), allocating dynamic IPs from the upper band by default. This separation reduces collision risks for statically assigned IPs in the lower band. Option A is incorrect as dynamic allocation is not disabled by static IP usage. Option C is incorrect because IP reuse timing is not the mechanism used. Option D is incorrect as the entire IP range is not reserved solely for static IPs."
"Given a Kubernetes cluster with the Service CIDR 10.96.0.0/24, what is the size of the static IP allocation band according to Kubernetes' allocation strategy?

A) 254 addresses
B) 16 addresses
C) 238 addresses
D) 256 addresses",B) 16 addresses,"Option B is correct. For the 10.96.0.0/24 CIDR, Kubernetes calculates the static IP band size as min(max(16, 256/16), 256) = min(16,256) = 16 addresses. Option A (254) is the total usable IPs in the /24 minus network and broadcast addresses. Option C (238) corresponds to the dynamic band size, not the static. Option D (256) is the total number of IPs in the /24 block including network and broadcast addresses."
"Create a Service named 'custom-dns' in the 'kube-system' namespace with a static ClusterIP of 10.96.0.10, exposing UDP and TCP ports 53 targeting port 53 on Pods labeled 'k8s-app=kube-dns'. The Service type should be ClusterIP.",kubectl create service clusterip custom-dns --tcp=53:53 --udp=53:53 --cluster-ip=10.96.0.10 -n kube-system --dry-run=client -o yaml | kubectl label -f - k8s-app=kube-dns --local -o yaml | kubectl apply -f -,"This command creates a ClusterIP Service named 'custom-dns' in the 'kube-system' namespace with the static IP 10.96.0.10. The '--tcp=53:53' and '--udp=53:53' flags expose port 53 for both protocols. '--cluster-ip=10.96.0.10' assigns the static IP. The dry-run with output to YAML and label application simulates adding the selector 'k8s-app=kube-dns' since 'kubectl create service' does not support the selector flag directly. The final 'kubectl apply -f -' submits the properly labeled Service manifest. Note: In practice, creating such a Service with correct selectors is often done via a full YAML manifest for clarity."
Which command lists all Services along with their ClusterIP addresses in the default namespace?,kubectl get svc -o wide,"The 'kubectl get svc' command lists Services in the current namespace (default if none specified). The '-o wide' option adds extra columns including the ClusterIP address. This allows quick viewing of Service names, types, ClusterIP, and ports. Alternative commands like 'kubectl get svc -o jsonpath' could extract ClusterIPs but are more complex. The '-o wide' is the simplest method."
"What is the effect of setting the Service's .spec.internalTrafficPolicy field to Local in Kubernetes?

A) It routes traffic only to endpoints within the same node as the originating Pod.
B) It routes traffic only to external endpoints outside the cluster.
C) It disables kube-proxy from routing traffic.
D) It routes traffic to all endpoints in the cluster regardless of node locality.",A) It routes traffic only to endpoints within the same node as the originating Pod.,"The correct answer is A) It routes traffic only to endpoints within the same node as the originating Pod. Setting .spec.internalTrafficPolicy to Local instructs kube-proxy to restrict routing for cluster internal traffic to node-local endpoints, improving performance and reducing network overhead. Option B is incorrect because internalTrafficPolicy does not affect external endpoints; it only manages cluster internal traffic. Option C is wrong since kube-proxy still performs routing but filters endpoints based on node locality. Option D is the default behavior when internalTrafficPolicy is set to Cluster or unset, not when it is set to Local."
"Which Kubernetes version introduced the stable feature of Service Internal Traffic Policy?

A) v1.20
B) v1.22
C) v1.26
D) v1.28",C) v1.26,The correct answer is C) v1.26. The Service Internal Traffic Policy feature reached stable status in Kubernetes version 1.26. Option A and B are incorrect as the feature was not stable or introduced in those versions. Option D is incorrect since v1.28 is a future version beyond the stable introduction point.
"What happens if a Pod is on a node that has no endpoints for a Service with internalTrafficPolicy set to Local?

A) The Pod can still access endpoints on other nodes.
B) The Service acts as if it has zero endpoints for that Pod's node.
C) The Pod receives traffic load-balanced across all cluster endpoints.
D) The Service forwards traffic externally.",B) The Service acts as if it has zero endpoints for that Pod's node.,"The correct answer is B) The Service acts as if it has zero endpoints for that Pod's node. When internalTrafficPolicy is Local, kube-proxy only considers node-local endpoints. If none exist on the Pod's node, the Service behaves as if no endpoints are available for that node, meaning traffic is not routed elsewhere. Option A is incorrect because it contradicts the behavior of internalTrafficPolicy set to Local. Option C is the default when internalTrafficPolicy is Cluster or unset. Option D is incorrect as this setting does not cause forwarding of traffic outside the cluster."
"Create a ClusterIP Service named 'my-service' exposing TCP port 80 targeting port 9376, selecting Pods with label 'app.kubernetes.io/name=MyApp', and enforcing internal traffic policy to local node endpoints.","kubectl apply -f - <<EOF
apiVersion: v1
kind: Service
metadata:
  name: my-service
spec:
  selector:
    app.kubernetes.io/name: MyApp
  ports:
  - protocol: TCP
    port: 80
    targetPort: 9376
  internalTrafficPolicy: Local
EOF",This command uses 'kubectl apply -f -' with a here-document to create a Service resource. The Service is named 'my-service' with a selector matching Pods labeled 'app.kubernetes.io/name=MyApp'. It exposes port 80 (TCP) and forwards traffic to targetPort 9376 on selected Pods. The key field 'internalTrafficPolicy: Local' ensures kube-proxy routes cluster internal traffic only to endpoints local to the node where the request originates. This reduces cross-node network hops for internal Pod communication. Using 'apply' is appropriate for declarative management.
"Which of the following is NOT a benefit of enabling Service Internal Traffic Policy with the Local setting?

A) Reduced network latency for intra-node Pod communication.
B) Improved reliability by avoiding cluster network hops.
C) Ability to route external client traffic only to local node endpoints.
D) Potential cost savings by limiting intra-cluster traffic to nodes.",C) Ability to route external client traffic only to local node endpoints.,"The correct answer is C) Ability to route external client traffic only to local node endpoints. Service Internal Traffic Policy applies only to internal cluster traffic originating from Pods within the cluster, not external client traffic. Options A, B, and D are benefits of setting internalTrafficPolicy to Local because it reduces cross-node network hops (lower latency), improves reliability by avoiding cluster network paths, and can reduce network costs by limiting traffic to the node."
Configure an existing Service named 'backend' to restrict internal traffic to node-local endpoints without changing other Service fields.,"kubectl patch service backend -p '{""spec"":{""internalTrafficPolicy"":""Local""}}'",This command uses 'kubectl patch' to modify the 'backend' Service resource by adding or updating the 'spec.internalTrafficPolicy' field to 'Local'. The '-p' flag specifies the patch in JSON format. This approach minimally updates only the intended field without affecting other Service specifications. It's useful for quickly enabling internal traffic locality on an existing Service without recreating or applying a full manifest.
"Which of the following statements about Kubernetes volumes is TRUE?

A) Data in ephemeral volumes is preserved even after the Pod is deleted.
B) Persistent volumes exist only as long as the Pod exists.
C) Data in volumes is lost when containers restart.
D) Volumes provide shared filesystem access between containers in the same Pod.",D) Volumes provide shared filesystem access between containers in the same Pod.,The correct answer is D. Kubernetes volumes allow multiple containers in the same Pod to share data via a filesystem. Option A is incorrect because ephemeral volumes are deleted when the Pod is removed. Option B is wrong as persistent volumes exist beyond the lifetime of a Pod and are not deleted when Pods are terminated. Option C is false because data in volumes is preserved across container restarts within a Pod.
"What happens to an emptyDir volume when a Pod is removed from a node?

A) The data persists on the node.
B) The data in the emptyDir is permanently deleted.
C) The data is synchronized to other nodes.
D) The data is backed up automatically to persistent storage.",B) The data in the emptyDir is permanently deleted.,The correct answer is B. An emptyDir volume is created when a Pod is assigned to a node and is deleted permanently when the Pod is removed from that node. Option A is incorrect because the data does not persist beyond the Pod lifecycle. Option C is wrong as emptyDir does not synchronize data across nodes. Option D is false because emptyDir volumes do not support automatic backup to persistent storage.
"Which volume type would you use to inject configuration data from a ConfigMap into a Pod?

A) emptyDir
B) configMap
C) persistentVolumeClaim
D) downwardAPI",B) configMap,"The correct answer is B. The configMap volume type allows configuration data stored in a ConfigMap to be mounted into a Pod as files. Option A (emptyDir) is for ephemeral scratch space, not config data. Option C (persistentVolumeClaim) is for persistent storage volumes, unrelated to ConfigMaps. Option D (downwardAPI) exposes Pod metadata and status, not ConfigMap data."
"Which statement about mounting volumes in Kubernetes containers is TRUE?

A) A volume can be mounted inside other volumes.
B) Each container must independently specify where to mount the volumes it uses.
C) Volumes can be mounted with hard links to different volumes.
D) Volume mounts are optional if volumes are defined in the Pod spec.",B) Each container must independently specify where to mount the volumes it uses.,"The correct answer is B. Each container in a Pod must declare volume mounts independently, specifying the mount path for each volume it requires. Option A is incorrect because volumes cannot be mounted inside other volumes. Option C is false since volumes cannot contain hard links to files in other volumes. Option D is wrong because defining a volume alone does not automatically mount it inside containers."
"Create a Pod named 'configmap-pod' running the busybox:1.28 image with a ConfigMap volume named 'config-vol' mounted at '/etc/config', using the ConfigMap named 'log-config'. The pod should run a command that prints 'The app is running!' and then sleep indefinitely.","kubectl run configmap-pod --image=busybox:1.28 --restart=Never --overrides='{ ""apiVersion"": ""v1"", ""kind"": ""Pod"", ""metadata"": { ""name"": ""configmap-pod"" }, ""spec"": { ""containers"": [{ ""name"": ""test"", ""image"": ""busybox:1.28"", ""command"": [""sh"", ""-c"", ""echo \""The app is running!\"" && tail -f /dev/null""], ""volumeMounts"": [{ ""name"": ""config-vol"", ""mountPath"": ""/etc/config"" }] }], ""volumes"": [{ ""name"": ""config-vol"", ""configMap"": { ""name"": ""log-config"" } }] } }'","This kubectl run command creates a Pod named 'configmap-pod' with the busybox:1.28 image. The '--restart=Never' flag ensures it creates a Pod, not a Deployment. The '--overrides' JSON specifies the Pod spec including container command, volume mount at '/etc/config', and the ConfigMap volume named 'config-vol' referencing the 'log-config' ConfigMap. The container runs a shell command to print a message then tails /dev/null to keep running."
Explain what happens to data stored in a downwardAPI volume when the Pod's metadata changes and the volume is mounted using subPath.,"When a downwardAPI volume is mounted using subPath, the container does not receive updates to the Pod metadata files if the metadata changes during the Pod lifecycle.","The downwardAPI volume exposes Pod metadata as files. However, when using subPath to mount the volume into a container, these files are not updated dynamically if the metadata changes. This means the container sees a static snapshot of the metadata at Pod startup. To receive updates, the volume must be mounted without subPath. This behavior is important to know when using downwardAPI volumes for dynamic Pod info."
"Which Kubernetes resource represents a piece of storage in the cluster with a lifecycle independent of any Pod?

A) PersistentVolumeClaim
B) PersistentVolume
C) StorageClass
D) Volume",B) PersistentVolume,"The correct answer is B) PersistentVolume. A PersistentVolume (PV) is a cluster resource representing storage that exists independently of any Pod that uses it. Option A) PersistentVolumeClaim is a user request for storage, not the storage itself. Option C) StorageClass defines how volumes are dynamically provisioned but is not the storage itself. Option D) Volume is a general term for storage attached to Pods but does not have a lifecycle independent of Pods."
"What is required for dynamic provisioning of PersistentVolumes in Kubernetes?

A) PVC must specify a StorageClass and the administrator must configure that StorageClass for dynamic provisioning
B) PVC must be bound to a statically created PV
C) PVC must have access mode ReadOnlyMany
D) PVC must be deleted before dynamic provisioning can occur",A) PVC must specify a StorageClass and the administrator must configure that StorageClass for dynamic provisioning,The correct answer is A) PVC must specify a StorageClass and the administrator must configure that StorageClass for dynamic provisioning. Dynamic provisioning happens only when the PVC requests a StorageClass and the cluster admin has configured that class for dynamic provisioning. Option B is incorrect because dynamic provisioning happens when no matching static PV exists. Option C is irrelevant to provisioning method. Option D is incorrect; PVC deletion is unrelated to provisioning.
"What happens to a PersistentVolume when its reclaim policy is set to 'Retain' and the associated PersistentVolumeClaim is deleted?

A) The PV is deleted along with its storage asset
B) The PV remains but is marked Released and data remains on the volume
C) The PV is recycled and data automatically wiped
D) The PV is immediately available for a new claim",B) The PV remains but is marked Released and data remains on the volume,"The correct answer is B) The PV remains but is marked Released and data remains on the volume. The 'Retain' reclaim policy means manual reclamation is required; the PV is not deleted automatically, and data remains until cleaned up manually. Option A is the behavior of 'Delete' reclaim policy. Option C describes 'Recycle', which is deprecated and not automatic in 'Retain'. Option D is incorrect because the PV is not available until manually cleaned and re-created."
"Which feature in Kubernetes protects PersistentVolumeClaims and PersistentVolumes from being deleted while they are in active use?

A) StorageClass
B) Access Modes
C) Storage Object in Use Protection
D) Reclaim Policy",C) Storage Object in Use Protection,"The correct answer is C) Storage Object in Use Protection. This feature prevents PVCs and PVs from being deleted while they are actively used by Pods, postponing deletion until they are no longer in use. Option A) StorageClass is about provisioning volumes. Option B) Access Modes define how volumes can be mounted, not deletion protection. Option D) Reclaim Policy controls what happens after a volume is released, not protection during use."
Create a PersistentVolumeClaim named 'mypvc' in the default namespace requesting 10Gi of storage with access mode ReadWriteOnce using the StorageClass 'fast-storage'.,kubectl create pvc mypvc --storage-class=fast-storage --access-modes=ReadWriteOnce --resources=requests.storage=10Gi,This command creates a PersistentVolumeClaim named 'mypvc' in the default namespace. The '--storage-class=fast-storage' flag specifies the StorageClass for dynamic provisioning or binding. '--access-modes=ReadWriteOnce' requests the volume to be mounted as read-write by a single node. '--resources=requests.storage=10Gi' requests 10Gi of storage. This PVC can then be bound to a matching PersistentVolume or dynamically provisioned.
Describe the command to check if a PersistentVolumeClaim named 'hostpath' is protected by the Storage Object in Use Protection feature.,kubectl describe pvc hostpath,"This command shows detailed information about the 'hostpath' PVC. In the output, check for the 'Finalizers' field containing 'kubernetes.io/pvc-protection' and the status 'Terminating' to confirm protection is active. This means the PVC cannot be deleted while in use by a Pod. No additional flags are needed for this inspection."
"Which of the following volume sources cannot be included in a Kubernetes projected volume?

A) secret
B) configMap
C) persistentVolumeClaim
D) downwardAPI",C) persistentVolumeClaim,"The correct answer is C) persistentVolumeClaim. Projected volumes combine several volume sources into the same directory, but supported sources include secret, configMap, downwardAPI, serviceAccountToken, and clusterTrustBundle. PersistentVolumeClaims are not supported as a source in projected volumes. Option A) secret, B) configMap, and D) downwardAPI are all valid sources for projected volumes."
"In a projected volume, where can you specify the default file permission mode for all projections?

A) At each individual volume source under 'mode'
B) Only at the projected volume level under 'defaultMode'
C) At the container security context
D) In the Pod metadata annotations",B) Only at the projected volume level under 'defaultMode',"The correct answer is B) Only at the projected volume level under 'defaultMode'. When using projected volumes, the defaultMode parameter can only be applied at the projected volume level, not for each individual volume source. However, you can override this default by explicitly setting the 'mode' for individual projections. Option A is incorrect because 'mode' cannot be specified at the volume source level for defaultMode. Option C is unrelated to file mode in projected volumes. Option D is incorrect because Pod annotations do not control volume file permissions."
"Which statement about serviceAccountToken projected volumes is TRUE?

A) The audience field is mandatory and must match the API server identifier.
B) expirationSeconds must be at least 3600 seconds.
C) The token is mounted at a path relative to the projected volume mount.
D) serviceAccountToken projected volumes can inject tokens from any namespace.",C) The token is mounted at a path relative to the projected volume mount.,"The correct answer is C) The token is mounted at a path relative to the projected volume mount. The 'path' field specifies a relative path inside the projected volume where the token file will be placed. Option A is incorrect because the 'audience' field is optional and defaults to the API server identifier. Option B is incorrect because expirationSeconds defaults to 3600 seconds but must be at least 600 seconds (10 minutes). Option D is incorrect because all sources, including serviceAccountToken, must be in the same namespace as the Pod."
"When using clusterTrustBundle projected volumes in Kubernetes v1.33, which of the following is REQUIRED to enable this feature?

A) Enable the ClusterTrustBundle feature gate and set --runtime-config=certificates.k8s.io/v1beta1/clustertrustbundles=true on the kube-apiserver
B) Annotate the Pod with clusterTrustBundle=true
C) Use the default enabled state without any configuration
D) Use a ConfigMap to hold the clusterTrustBundle certificates",A) Enable the ClusterTrustBundle feature gate and set --runtime-config=certificates.k8s.io/v1beta1/clustertrustbundles=true on the kube-apiserver,"The correct answer is A) Enable the ClusterTrustBundle feature gate and set --runtime-config=certificates.k8s.io/v1beta1/clustertrustbundles=true on the kube-apiserver. In Kubernetes v1.33, clusterTrustBundle projected volumes are beta and disabled by default, requiring explicit enabling via feature gates and runtime-config flags on the API server. Option B is incorrect because Pod annotations do not enable this feature. Option C is wrong since the feature is disabled by default. Option D is incorrect because clusterTrustBundles are special resources, not ConfigMaps."
"Create a Pod named 'projected-pod' that mounts a projected volume combining a secret named 'mysecret' (key: 'username' mapped to path 'user'), a ConfigMap named 'myconfig' (key: 'config' mapped to 'app-config'), and a downwardAPI volume exposing the Pod's labels at 'labels'. Mount the projected volume at '/mnt/projected' as read-only, using the busybox image and command 'sleep 3600'.","kubectl run projected-pod --image=busybox --command -- sleep 3600 --dry-run=client -o yaml > projected-pod.yaml

# Then edit projected-pod.yaml to add the volumes and volumeMounts as below:

# volumes:
# - name: projected-volume
#   projected:
#     sources:
#     - secret:
#         name: mysecret
#         items:
#         - key: username
#           path: user
#     - configMap:
#         name: myconfig
#         items:
#         - key: config
#           path: app-config
#     - downwardAPI:
#         items:
#         - path: labels
#           fieldRef:
#             fieldPath: metadata.labels

# containers:
# - name: busybox
#   image: busybox
#   command:
#   - sleep
#   - ""3600""
#   volumeMounts:
#   - name: projected-volume
#     mountPath: /mnt/projected
#     readOnly: true

kubectl apply -f projected-pod.yaml","This task cannot be completed with a single kubectl run command because projected volumes require detailed volume and volumeMount specifications. The recommended approach is to generate a Pod manifest using 'kubectl run' with '--dry-run=client -o yaml', then edit the manifest to include a projected volume combining the secret, configMap, and downwardAPI sources as specified. The projected volume is mounted at '/mnt/projected' with readOnly: true. Finally, apply the manifest with 'kubectl apply -f'. This approach ensures all volume sources are correctly projected into the Pod."
"What effect does setting 'optional: true' have on a clusterTrustBundle projected volume source?

A) The Pod fails to start if the ClusterTrustBundle is missing.
B) The Pod starts with an empty file if no matching ClusterTrustBundle is found.
C) It disables automatic updates of the certificates in the projected file.
D) It causes the kubelet to ignore the ClusterTrustBundle feature gate.",B) The Pod starts with an empty file if no matching ClusterTrustBundle is found.,"The correct answer is B) The Pod starts with an empty file if no matching ClusterTrustBundle is found. By default, the kubelet prevents the Pod from starting if the specified ClusterTrustBundle object is missing. Setting 'optional: true' overrides this behavior, allowing the Pod to start and creating an empty file at the specified path. Option A is the default behavior without 'optional: true'. Option C is incorrect because certificate updates continue. Option D is incorrect because feature gates must still be enabled regardless of this flag."
"Which of the following best describes an ephemeral volume in Kubernetes?

A) A volume that persists data across Pod restarts and is backed by PersistentVolumeClaim.
B) A volume that is created and deleted along with the Pod and does not persist data beyond the Pod's lifecycle.
C) A volume that stores data permanently on a network-attached storage.
D) A volume type that only supports read-only access and cannot be used for scratch data.",B) A volume that is created and deleted along with the Pod and does not persist data beyond the Pod's lifecycle.,"The correct answer is B. Ephemeral volumes are designed to live and die with the Pod, meaning the data stored in them does not persist after the Pod is deleted or restarted. Option A is incorrect because persistent volumes backed by PersistentVolumeClaims are designed to persist data beyond the Pod lifecycle. Option C is incorrect because ephemeral volumes do not necessarily use network-attached storage and do not provide permanent storage. Option D is incorrect because ephemeral volumes can be used for scratch data and are not limited to read-only access."
"Which of the following volume types is NOT considered a local ephemeral volume managed by kubelet?

A) emptyDir
B) configMap
C) secret
D) CSI ephemeral volumes",D) CSI ephemeral volumes,"The correct answer is D. CSI ephemeral volumes are provided by third-party CSI drivers and are not managed by kubelet as local ephemeral storage. Options A, B, and C (emptyDir, configMap, secret) are local ephemeral volumes managed by kubelet on each node. Thus, they are considered local ephemeral storage, whereas CSI ephemeral volumes rely on external CSI drivers."
"What is a key limitation of CSI ephemeral volumes compared to generic ephemeral volumes?

A) CSI ephemeral volumes support snapshotting and cloning while generic ephemeral volumes do not.
B) CSI ephemeral volumes support storage capacity aware Pod scheduling but generic ephemeral volumes do not.
C) CSI ephemeral volumes cannot be used with dynamic provisioning unlike generic ephemeral volumes.
D) CSI ephemeral volumes are managed by kubelet directly, unlike generic ephemeral volumes.",C) CSI ephemeral volumes cannot be used with dynamic provisioning unlike generic ephemeral volumes.,"The correct answer is C. Some CSI drivers written specifically for CSI ephemeral volumes do not support dynamic provisioning, which is required for generic ephemeral volumes. Option A is incorrect because generic ephemeral volumes support snapshotting and cloning, but CSI ephemeral volumes may not. Option B is incorrect because both types currently do not support storage capacity aware Pod scheduling. Option D is incorrect because CSI ephemeral volumes are managed via CSI drivers, not by kubelet directly."
"How is the name of the PersistentVolumeClaim (PVC) created for a generic ephemeral volume determined?

A) It is randomly generated by Kubernetes.
B) It is the same as the Pod name.
C) It is a combination of the Pod name and volume name separated by a hyphen.
D) It is defined explicitly in the Pod manifest by the user.",C) It is a combination of the Pod name and volume name separated by a hyphen.,The correct answer is C. Kubernetes deterministically names the PVC for a generic ephemeral volume by concatenating the Pod name and the volume name with a hyphen. Option A is incorrect because the name is not random. Option B is incorrect because the PVC name includes both Pod and volume names. Option D is incorrect because the PVC is automatically created by Kubernetes and not explicitly named by the user.
"Create a Pod named 'my-csi-app' using the busybox:1.28 image, which mounts a CSI ephemeral volume named 'my-csi-inline-vol' at path '/data' using the CSI driver 'inline.storage.kubernetes.io' with a volume attribute 'foo=bar'. The container should run the command 'sleep 1000000'.","kubectl run my-csi-app --image=busybox:1.28 --command -- sleep 1000000 --overrides='{""apiVersion"":""v1"",""spec"":{""volumes"":[{""name"":""my-csi-inline-vol"",""csi"":{""driver"":""inline.storage.kubernetes.io"",""volumeAttributes"":{""foo"":""bar""}}}],""containers"":[{""name"":""my-csi-app"",""image"":""busybox:1.28"",""command"":[""sleep"",""1000000""],""volumeMounts"":[{""mountPath"":""/data"",""name"":""my-csi-inline-vol""}]}]}}'","This command uses 'kubectl run' to create a Pod named 'my-csi-app' with the specified image and command. The '--overrides' flag injects the Pod spec JSON to define the CSI ephemeral volume with the driver 'inline.storage.kubernetes.io' and volume attribute 'foo=bar'. The container mounts this volume at '/data'. This approach is necessary because 'kubectl run' does not support the full volume spec natively, so JSON overrides are used to specify the CSI volume inline."
Create a Pod named 'my-app' with a generic ephemeral volume called 'scratch-volume' using a volumeClaimTemplate requesting 1Gi storage with access mode ReadWriteOnce and storageClassName 'scratch-storage-class'. The Pod should mount the volume at '/scratch' and run 'sleep 1000000' using the busybox:1.28 image.,"kubectl apply -f - <<EOF
apiVersion: v1
kind: Pod
metadata:
  name: my-app
spec:
  containers:
  - name: my-frontend
    image: busybox:1.28
    command: [""sleep"", ""1000000""]
    volumeMounts:
    - mountPath: /scratch
      name: scratch-volume
  volumes:
  - name: scratch-volume
    ephemeral:
      volumeClaimTemplate:
        metadata:
          labels:
            type: my-frontend-volume
        spec:
          accessModes: [""ReadWriteOnce""]
          storageClassName: scratch-storage-class
          resources:
            requests:
              storage: 1Gi
EOF","This command uses 'kubectl apply' with a here-document to create a Pod manifest inline. The Pod named 'my-app' includes a generic ephemeral volume named 'scratch-volume' defined via 'volumeClaimTemplate' which dynamically creates a PVC with the specified storage requests and class. The container mounts this volume at '/scratch' and runs the command 'sleep 1000000'. Using generic ephemeral volumes allows the Pod to have ephemeral storage backed by dynamically provisioned storage, automatically cleaned up when the Pod is deleted."
"What is the purpose of a StorageClass in Kubernetes?

A) To define network policies for pods
B) To describe classes of storage with different quality-of-service or backup policies
C) To manage user access control
D) To schedule pods on specific nodes",B) To describe classes of storage with different quality-of-service or backup policies,"The correct answer is B) To describe classes of storage with different quality-of-service or backup policies. A StorageClass provides a way for administrators to define different storage types or policies, such as performance levels or backup settings. Option A is incorrect because StorageClasses do not define network policies. Option C is incorrect as StorageClasses do not manage user access control. Option D is wrong because StorageClasses are unrelated to pod scheduling."
"Which reclaimPolicy is the default when not specified in a StorageClass?

A) Retain
B) Delete
C) Recycle
D) None",B) Delete,"The correct answer is B) Delete. When a reclaimPolicy is not specified in a StorageClass, it defaults to Delete, meaning PersistentVolumes created by the StorageClass are deleted when released. Option A) Retain is incorrect because it must be explicitly set and it retains the volume after release. Option C) Recycle is deprecated and not a valid default. Option D) None is invalid."
"What does setting the volumeBindingMode to WaitForFirstConsumer achieve?

A) Immediate dynamic provisioning of volumes upon PVC creation
B) Delays volume binding and provisioning until a Pod using the PVC is scheduled
C) Prevents volume expansion
D) Automatically deletes the volume when Pod is deleted",B) Delays volume binding and provisioning until a Pod using the PVC is scheduled,"The correct answer is B) Delays volume binding and provisioning until a Pod using the PVC is scheduled. This ensures volumes are provisioned in the correct topology based on Pod scheduling constraints. Option A) Immediate is the default mode, which binds volumes as soon as the PVC is created. Option C) is unrelated to volumeBindingMode. Option D) describes reclaimPolicy behavior, not volumeBindingMode."
